date,centre_id,crop_id,farmers_ahead,active_counters,recent_avg_service_minutes,hour,interruption_active,wait_minutes
2024-01-04,1,1,22,1,14.41,10.03,0,318.49
2024-01-04,1,1,14,3,14.43,10.85,0,71.6
2024-01-04,1,1,4,2,15.01,12.61,0,30.39
2024-01-04,1,1,3,4,14.89,15.2,0,7.76
2024-01-04,1,1,9,2,16.22,15.58,1,81.09
2024-01-05,1,1,18,1,11.02,11.35,0,195.45
2024-01-05,1,1,13,1,9.07,16.96,0,115.68
2024-01-05,1,1,15,3,11.88,13.77,0,62.55
2024-01-05,1,1,15,3,16.34,15.53,0,77.8
2024-01-05,1,1,4,4,17.67,12.03,0,23.49
2024-01-05,1,1,16,4,15.52,9.36,0,60.27
2024-01-05,1,1,18,1,11.87,12.41,0,204.06
2024-01-05,1,1,0,1,11.63,13.74,0,0.0
2024-01-05,1,1,15,4,15.41,12.86,0,59.32
2024-01-05,1,1,6,2,15.59,12.54,0,43.76
2024-01-05,1,1,2,4,12.51,12.78,0,5.97
2024-01-05,1,1,19,4,15.1,11.05,0,71.1
2024-01-05,1,1,12,4,16.1,13.39,0,49.34
2024-01-05,1,1,3,3,15.38,13.58,0,14.37
2024-01-05,1,1,13,4,10.18,15.04,0,35.94
2024-01-05,1,1,10,3,12.65,13.89,0,37.27
2024-01-05,1,1,3,2,18.64,11.12,0,22.84
2024-01-06,1,1,8,4,16.03,8.76,0,29.52
2024-01-06,1,1,6,4,16.53,11.35,1,29.72
2024-01-06,1,1,24,3,12.15,15.79,0,100.08
2024-01-06,1,1,9,1,13.77,15.72,0,125.02
2024-01-06,1,1,6,3,15.94,16.06,0,27.72
2024-01-06,1,1,10,4,18.22,10.69,0,44.31
2024-01-06,1,1,2,2,14.62,8.76,0,8.64
2024-01-06,1,1,11,4,19.11,11.67,0,55.0
2024-01-06,1,1,4,4,12.46,11.53,0,19.85
2024-01-06,1,1,8,1,18.34,9.82,1,151.6
2024-01-06,1,1,25,3,17.43,16.63,0,141.6
2024-01-06,1,1,25,2,14.84,10.93,0,183.37
2024-01-06,1,1,25,3,16.57,10.69,0,141.42
2024-01-06,1,1,4,1,19.77,15.13,0,82.33
2024-01-06,1,1,22,2,17.5,15.33,0,190.8
2024-01-06,1,1,12,1,16.58,13.88,0,200.24
2024-01-06,1,1,24,2,16.9,8.93,0,193.57
2024-01-06,1,1,14,1,13.17,10.81,0,180.25
2024-01-06,1,1,16,2,17.1,9.86,0,135.9
2024-01-06,1,1,5,2,14.97,15.76,0,36.59
2024-01-06,1,1,7,2,11.87,15.03,0,41.17
2024-01-06,1,1,5,2,10.44,14.15,0,27.23
2024-01-06,1,1,6,4,12.72,14.4,0,21.27
2024-01-07,1,1,0,3,12.96,8.04,0,7.19
2024-01-07,1,1,3,1,14.26,10.29,0,38.71
2024-01-07,1,1,6,3,18.57,15.32,0,39.7
2024-01-07,1,1,0,3,17.5,10.86,0,1.36
2024-01-07,1,1,5,2,15.17,14.53,0,44.83
2024-01-07,1,1,5,2,15.51,9.13,0,34.4
2024-01-08,1,1,18,1,18.6,9.14,0,334.89
2024-01-08,1,1,8,3,12.84,8.45,0,36.27
2024-01-08,1,1,6,3,11.43,13.36,1,40.04
2024-01-08,1,1,16,2,13.31,11.57,0,111.63
2024-01-08,1,1,15,3,14.74,11.77,0,72.87
2024-01-08,1,1,0,4,15.51,8.85,0,0.0
2024-01-08,1,1,3,3,15.55,9.61,0,10.9
2024-01-08,1,1,6,2,11.28,11.41,0,38.69
2024-01-08,1,1,13,3,15.79,8.94,0,65.42
2024-01-08,1,1,17,4,14.35,14.69,0,68.6
2024-01-08,1,1,19,2,18.51,11.55,0,188.54
2024-01-08,1,1,11,3,13.59,16.42,0,53.45
2024-01-08,1,1,6,2,15.56,9.47,0,38.92
2024-01-08,1,1,0,4,13.04,14.78,0,0.0
2024-01-08,1,1,9,1,12.32,12.22,0,111.96
2024-01-08,1,1,0,2,16.45,12.46,0,0.0
2024-01-08,1,1,2,2,14.79,16.11,0,10.35
2024-01-08,1,1,7,4,12.81,10.74,0,12.42
2024-01-09,1,1,2,2,14.38,13.26,0,16.29
2024-01-09,1,1,27,2,15.78,14.95,0,210.53
2024-01-09,1,1,13,1,14.55,10.38,0,186.13
2024-01-09,1,1,20,2,16.11,14.39,0,166.86
2024-01-09,1,1,17,3,17.73,9.45,0,100.93
2024-01-09,1,1,0,4,14.67,12.77,0,0.0
2024-01-09,1,1,11,1,15.01,12.34,0,166.37
2024-01-09,1,1,11,3,12.7,8.27,0,47.41
2024-01-09,1,1,0,2,15.98,11.6,0,1.34
2024-01-09,1,1,26,4,15.77,12.22,0,104.39
2024-01-09,1,1,21,2,13.58,15.15,0,142.54
2024-01-09,1,1,20,4,18.23,11.94,0,91.03
2024-01-09,1,1,17,4,14.49,12.12,1,71.28
2024-01-09,1,1,25,3,15.45,10.87,0,133.14
2024-01-09,1,1,9,3,12.17,16.55,0,37.42
2024-01-09,1,1,2,3,15.75,12.05,1,36.92
2024-01-09,1,1,24,3,16.74,11.3,0,133.49
2024-01-09,1,1,28,3,16.53,16.16,0,154.08
2024-01-09,1,1,12,2,14.17,9.13,0,87.71
2024-01-09,1,1,4,3,16.51,10.94,1,32.37
2024-01-09,1,1,30,4,12.91,9.16,0,95.48
2024-01-09,1,1,8,2,15.68,9.82,0,54.29
2024-01-09,1,1,24,4,10.64,13.63,0,68.59
2024-01-09,1,1,16,2,14.0,11.6,1,143.19
2024-01-09,1,1,11,2,16.61,10.9,0,94.16
2024-01-09,1,1,14,3,13.48,16.21,0,59.06
2024-01-09,1,1,29,4,12.52,14.86,0,85.24
2024-01-09,1,1,22,1,15.3,10.32,0,335.98
2024-01-09,1,1,9,1,14.09,9.51,0,122.5
2024-01-10,1,1,15,1,17.64,16.4,0,265.55
2024-01-10,1,1,15,1,15.87,15.96,0,232.39
2024-01-10,1,1,11,4,16.31,12.97,0,48.02
2024-01-10,1,1,12,3,13.69,12.65,0,56.73
2024-01-10,1,1,1,4,17.48,11.82,0,6.45
2024-01-10,1,1,12,2,16.4,15.39,0,101.77
2024-01-10,1,1,3,3,14.46,16.04,0,14.77
2024-01-10,1,1,14,1,14.28,8.61,0,199.9
2024-01-10,1,1,1,2,14.53,13.87,1,32.98
2024-01-10,1,1,0,1,10.81,12.85,0,5.53
2024-01-10,1,1,6,2,17.58,14.77,0,52.75
2024-01-10,1,1,11,2,10.36,9.88,0,59.74
2024-01-10,1,1,12,1,14.23,15.41,0,174.63
2024-01-10,1,1,13,1,13.88,11.54,0,186.29
2024-01-10,1,1,15,4,12.16,13.9,0,39.59
2024-01-11,1,1,10,1,14.27,12.38,0,138.74
2024-01-11,1,1,5,4,11.8,11.47,0,16.42
2024-01-11,1,1,3,2,16.71,8.59,0,19.56
2024-01-11,1,1,13,4,15.73,16.01,0,55.15
2024-01-11,1,1,19,4,16.5,13.27,0,74.67
2024-01-11,1,1,0,1,12.88,11.8,0,0.0
2024-01-11,1,1,14,4,13.65,8.5,0,48.97
2024-01-11,1,1,21,3,14.02,16.37,0,92.64
2024-01-11,1,1,1,1,10.5,15.67,0,15.66
2024-01-11,1,1,15,3,16.57,11.61,1,95.65
2024-01-11,1,1,1,3,16.13,16.81,0,5.72
2024-01-11,1,1,18,2,13.41,10.89,0,126.94
2024-01-11,1,1,18,4,13.0,11.68,0,58.76
2024-01-11,1,1,8,4,11.38,10.96,0,28.84
2024-01-11,1,1,8,2,15.6,10.89,0,62.26
2024-01-11,1,1,12,1,14.04,11.5,0,166.64
2024-01-11,1,1,17,4,14.77,16.35,0,65.14
2024-01-11,1,1,22,1,17.9,16.32,0,393.86
2024-01-11,1,1,14,1,18.24,8.24,0,246.68
2024-01-12,1,1,21,2,14.95,13.09,0,155.26
2024-01-12,1,1,9,4,10.74,16.69,0,21.52
2024-01-12,1,1,19,1,13.07,11.37,0,250.77
2024-01-12,1,1,11,2,14.5,13.46,0,68.63
2024-01-12,1,1,2,2,12.64,15.54,0,14.9
2024-01-12,1,1,16,4,14.59,12.17,0,55.33
2024-01-12,1,1,14,3,14.96,8.36,0,70.96
2024-01-12,1,1,21,1,14.75,11.1,0,313.31
2024-01-12,1,1,4,2,15.82,8.73,0,42.49
2024-01-12,1,1,20,3,13.4,8.32,0,85.23
2024-01-12,1,1,11,4,15.65,10.72,0,42.04
2024-01-12,1,1,7,4,12.42,8.54,0,23.59
2024-01-12,1,1,16,3,13.99,11.58,0,78.26
2024-01-12,1,1,3,4,16.72,10.57,0,17.86
2024-01-12,1,1,15,4,16.92,16.78,0,57.03
2024-01-12,1,1,14,1,15.73,12.89,0,226.1
2024-01-12,1,1,10,3,9.27,11.48,0,31.26
2024-01-12,1,1,2,1,12.83,12.01,0,31.56
2024-01-12,1,1,1,1,15.92,16.78,0,15.19
2024-01-12,1,1,15,4,12.18,8.44,0,43.71
2024-01-13,1,1,11,3,16.03,13.56,0,63.81
2024-01-13,1,1,2,2,13.3,11.94,0,13.41
2024-01-13,1,1,5,4,14.58,10.89,0,14.58
2024-01-13,1,1,2,2,16.84,9.52,0,13.13
2024-01-13,1,1,14,1,11.73,12.57,0,152.38
2024-01-13,1,1,1,2,17.24,8.6,0,14.38
2024-01-13,1,1,12,3,15.58,12.22,0,59.95
2024-01-13,1,1,12,1,16.02,15.04,0,191.78
2024-01-13,1,1,3,4,15.18,13.96,0,8.49
2024-01-13,1,1,12,2,15.92,12.55,0,90.08
2024-01-13,1,1,9,1,11.46,9.79,0,94.14
2024-01-13,1,1,4,4,14.67,16.6,0,21.5
2024-01-13,1,1,7,2,16.13,14.84,0,53.21
2024-01-13,1,1,13,2,12.25,10.46,0,79.56
2024-01-13,1,1,12,3,12.86,12.33,1,72.03
2024-01-13,1,1,1,4,12.64,10.17,0,4.48
2024-01-14,1,1,3,2,15.26,11.95,0,14.91
2024-01-14,1,1,18,1,15.42,12.48,0,269.83
2024-01-14,1,1,12,4,9.5,16.18,0,32.82
2024-01-14,1,1,15,1,14.66,12.45,0,221.13
2024-01-14,1,1,15,3,12.67,10.03,0,56.6
2024-01-14,1,1,15,4,18.03,10.83,0,67.2
2024-01-14,1,1,16,3,14.53,13.01,0,79.06
2024-01-14,1,1,4,1,13.55,11.63,0,51.69
2024-01-14,1,1,13,1,16.54,10.38,0,215.62
2024-01-14,1,1,5,3,12.71,10.49,0,21.83
2024-01-14,1,1,0,2,11.83,14.98,0,0.0
2024-01-14,1,1,14,4,12.48,13.14,1,74.92
2024-01-14,1,1,4,1,14.69,8.8,0,52.29
2024-01-14,1,1,3,2,16.89,11.69,0,19.69
2024-01-14,1,1,10,3,13.54,11.71,0,46.09
2024-01-14,1,1,1,1,12.86,8.88,0,7.18
2024-01-14,1,1,3,1,17.72,15.16,0,51.61
2024-01-14,1,1,12,2,14.5,9.22,0,89.1
2024-01-14,1,1,18,1,11.45,8.32,0,206.21
2024-01-15,1,1,7,4,18.18,15.81,1,43.22
2024-01-15,1,1,16,4,14.97,16.45,0,63.76
2024-01-15,1,1,1,4,14.59,15.38,0,1.8
2024-01-15,1,1,13,1,12.02,12.55,0,155.49
2024-01-15,1,1,25,4,13.99,14.63,0,86.47
2024-01-15,1,1,24,1,15.78,14.5,0,388.19
2024-01-15,1,1,12,2,14.79,16.88,0,89.66
2024-01-15,1,1,19,4,15.56,11.45,0,74.47
2024-01-15,1,1,24,2,14.55,13.46,0,171.64
2024-01-15,1,1,29,1,12.0,13.07,0,345.4
2024-01-15,1,1,14,2,13.92,11.57,1,124.12
2024-01-15,1,1,11,3,14.69,14.71,0,48.87
2024-01-15,1,1,16,3,14.07,10.08,0,70.52
2024-01-15,1,1,13,3,15.28,12.78,0,64.41
2024-01-15,1,1,1,3,17.05,15.31,0,8.25
2024-01-15,1,1,3,1,12.97,16.3,0,41.35
2024-01-15,1,1,9,1,17.09,8.64,0,158.36
2024-01-15,1,1,0,1,13.12,14.97,0,0.0
2024-01-15,1,1,9,3,14.57,12.03,0,38.24
2024-01-15,1,1,2,1,13.36,9.38,0,28.75
2024-01-15,1,1,21,2,16.34,8.7,0,169.63
2024-01-15,1,1,23,1,13.45,10.66,0,313.77
2024-01-15,1,1,10,3,18.42,13.61,0,56.69
2024-01-15,1,1,19,3,13.74,12.02,1,99.15
2024-01-15,1,1,30,1,13.16,10.13,0,393.13
2024-01-15,1,1,1,4,12.41,13.58,0,0.0
2024-01-15,1,1,29,3,12.76,8.65,0,113.57
2024-01-15,1,1,15,4,16.38,16.66,0,62.61
2024-01-16,1,1,8,4,11.3,13.13,1,31.73
2024-01-16,1,1,21,1,14.92,13.77,0,313.7
2024-01-16,1,1,3,1,15.95,14.8,0,40.05
2024-01-16,1,1,17,1,15.55,10.37,0,266.97
2024-01-16,1,1,0,4,15.97,15.74,0,4.89
2024-01-16,1,1,8,3,13.24,11.96,0,31.8
2024-01-16,1,1,20,4,16.49,10.89,0,84.79
2024-01-16,1,1,3,3,15.44,14.74,0,13.09
2024-01-16,1,1,11,1,16.76,12.02,0,184.47
2024-01-16,1,1,21,3,14.23,9.59,0,98.42
2024-01-16,1,1,15,1,15.95,8.2,0,240.83
2024-01-16,1,1,11,3,16.31,8.65,0,60.97
2024-01-16,1,1,2,1,14.58,12.95,0,32.65
2024-01-16,1,1,17,3,13.77,16.58,0,80.94
2024-01-16,1,1,20,2,17.85,8.41,0,176.68
2024-01-16,1,1,7,1,10.98,13.49,0,70.64
2024-01-16,1,1,4,3,17.05,13.43,0,21.67
2024-01-16,1,1,19,1,11.9,9.59,0,223.84
2024-01-16,1,1,9,1,16.21,16.32,1,174.92
2024-01-16,1,1,19,4,14.06,16.74,0,68.99
2024-01-17,1,1,18,3,14.37,8.68,0,78.51
2024-01-17,1,1,15,2,14.89,16.73,0,115.14
2024-01-17,1,1,28,1,11.56,16.48,0,318.33
2024-01-17,1,1,27,4,14.93,10.18,0,95.7
2024-01-17,1,1,3,2,12.54,9.36,0,15.81
2024-01-17,1,1,24,2,13.26,14.78,0,151.99
2024-01-17,1,1,0,4,15.43,12.02,0,0.0
2024-01-17,1,1,5,1,15.33,9.27,0,73.71
2024-01-17,1,1,3,1,15.48,11.97,0,45.49
2024-01-17,1,1,7,2,15.21,11.36,0,45.66
2024-01-17,1,1,11,1,18.15,11.55,0,199.78
2024-01-17,1,1,24,3,13.43,12.64,1,119.79
2024-01-17,1,1,21,1,15.78,8.2,0,331.76
2024-01-17,1,1,26,2,15.61,16.36,0,201.09
2024-01-17,1,1,10,2,15.87,11.03,0,78.96
2024-01-17,1,1,2,2,17.38,12.32,0,20.01
2024-01-17,1,1,0,1,15.32,8.82,0,1.91
2024-01-17,1,1,21,3,13.42,12.54,0,88.05
2024-01-17,1,1,3,2,9.8,12.78,0,12.72
2024-01-17,1,1,20,2,14.21,9.8,0,146.05
2024-01-17,1,1,14,3,15.59,11.14,0,69.7
2024-01-17,1,1,18,2,13.01,9.92,0,112.61
2024-01-17,1,1,21,1,12.55,10.15,0,263.78
2024-01-17,1,1,8,4,14.01,14.39,0,22.24
2024-01-17,1,1,14,2,15.55,12.8,0,112.68
2024-01-17,1,1,10,1,16.06,8.36,0,152.7
2024-01-17,1,1,9,2,15.11,11.41,0,59.38
2024-01-17,1,1,9,2,15.81,9.82,1,99.9
2024-01-18,1,1,1,4,15.39,16.06,0,4.23
2024-01-18,1,1,22,4,16.74,8.85,0,93.11
2024-01-18,1,1,1,1,13.57,14.93,1,44.76
2024-01-18,1,1,16,4,13.4,11.73,0,57.26
2024-01-18,1,1,14,2,15.98,15.91,0,112.71
2024-01-18,1,1,29,2,16.11,11.76,0,233.49
2024-01-18,1,1,1,1,19.41,11.72,0,19.81
2024-01-18,1,1,21,4,14.24,15.54,0,75.78
2024-01-18,1,1,17,1,15.64,10.37,0,276.67
2024-01-18,1,1,11,3,13.56,13.38,1,74.22
2024-01-18,1,1,16,3,14.87,9.07,0,80.22
2024-01-18,1,1,8,1,15.67,14.46,0,123.23
2024-01-18,1,1,22,1,17.6,16.3,0,398.5
2024-01-18,1,1,18,4,13.52,11.2,0,59.66
2024-01-18,1,1,9,1,15.67,14.35,0,143.44
2024-01-18,1,1,3,3,19.24,8.85,0,12.28
2024-01-18,1,1,12,4,14.76,11.32,0,47.17
2024-01-18,1,1,26,1,13.0,11.47,0,337.32
2024-01-18,1,1,9,3,14.57,12.81,0,44.07
2024-01-18,1,1,9,3,17.16,16.19,0,53.93
2024-01-18,1,1,22,2,16.58,12.13,0,178.92
2024-01-18,1,1,0,1,15.02,14.51,0,0.37
2024-01-18,1,1,29,3,15.17,15.82,0,147.27
2024-01-18,1,1,22,1,19.37,11.78,0,421.03
2024-01-18,1,1,22,3,13.15,15.99,0,92.85
2024-01-18,1,1,8,2,17.46,13.49,0,71.8
2024-01-18,1,1,22,1,11.84,8.04,1,280.29
2024-01-18,1,1,10,4,16.35,11.93,0,42.2
2024-01-18,1,1,17,2,17.17,16.96,0,146.49
2024-01-19,1,1,1,4,11.31,8.29,0,5.35
2024-01-19,1,1,13,1,15.25,9.88,0,196.11
2024-01-19,1,1,7,2,17.47,15.44,0,62.98
2024-01-19,1,1,1,3,16.39,13.11,0,7.25
2024-01-19,1,1,12,1,17.41,14.51,0,219.15
2024-01-19,1,1,12,4,13.99,8.51,1,57.68
2024-01-19,1,1,8,3,15.74,12.4,0,47.13
2024-01-19,1,1,7,1,16.65,12.3,1,146.05
2024-01-19,1,1,16,3,14.42,11.3,0,78.6
2024-01-19,1,1,7,2,17.28,11.29,0,51.6
2024-01-19,1,1,3,3,15.34,15.63,0,16.38
2024-01-19,1,1,10,1,14.02,16.88,0,144.37
2024-01-19,1,1,1,1,17.96,11.23,0,21.21
2024-01-19,1,1,3,4,14.65,9.12,0,13.59
2024-01-19,1,1,3,4,14.93,15.25,0,11.79
2024-01-19,1,1,13,2,17.42,14.14,0,111.81
2024-01-20,1,1,23,3,13.23,9.11,0,101.0
2024-01-20,1,1,20,1,14.29,8.62,0,285.98
2024-01-20,1,1,6,4,14.45,13.28,0,24.42
2024-01-20,1,1,4,4,11.78,11.93,0,3.94
2024-01-20,1,1,11,1,11.68,12.33,0,126.71
2024-01-20,1,1,11,2,13.71,13.92,0,76.54
2024-01-20,1,1,6,4,13.27,10.46,0,10.41
2024-01-20,1,1,13,3,13.2,10.0,0,61.63
2024-01-20,1,1,9,3,13.51,12.02,0,33.09
2024-01-20,1,1,8,3,18.1,9.29,1,68.94
2024-01-20,1,1,22,4,14.97,8.95,0,78.24
2024-01-20,1,1,20,2,14.51,9.0,0,141.22
2024-01-20,1,1,4,2,16.99,15.95,0,30.1
2024-01-20,1,1,15,1,16.64,8.3,0,252.66
2024-01-20,1,1,11,4,13.93,16.46,1,65.28
2024-01-20,1,1,18,3,16.99,9.08,0,96.91
2024-01-20,1,1,7,4,14.69,12.94,0,23.95
2024-01-20,1,1,9,3,16.32,16.21,0,50.28
2024-01-20,1,1,1,4,13.18,13.58,0,6.34
2024-01-20,1,1,12,1,18.63,15.03,0,223.2
2024-01-21,1,1,17,1,15.46,16.73,0,265.88
2024-01-21,1,1,19,2,17.18,13.79,0,161.03
2024-01-21,1,1,11,3,16.11,12.17,0,63.93
2024-01-21,1,1,12,3,18.04,13.44,0,69.77
2024-01-21,1,1,15,1,15.43,8.14,0,231.53
2024-01-21,1,1,9,4,16.11,14.27,0,35.39
2024-01-21,1,1,6,4,18.79,8.04,0,32.51
2024-01-21,1,1,4,1,17.3,14.91,0,68.49
2024-01-21,1,1,18,1,13.26,8.8,0,241.21
2024-01-21,1,1,11,4,15.82,12.11,0,41.54
2024-01-21,1,1,2,1,19.04,13.99,0,37.65
2024-01-21,1,1,19,4,10.83,10.44,0,54.8
2024-01-21,1,1,7,4,17.98,15.9,0,38.19
2024-01-21,1,1,12,4,13.12,13.04,0,41.23
2024-01-21,1,1,14,1,16.28,15.99,0,229.44
2024-01-21,1,1,3,2,13.07,15.41,0,23.48
2024-01-21,1,1,17,4,15.68,10.62,0,72.28
2024-01-21,1,1,19,4,16.25,16.94,0,80.03
2024-01-22,1,1,12,3,17.08,15.57,0,69.13
2024-01-22,1,1,17,1,13.21,16.06,0,219.16
2024-01-22,1,1,12,2,16.65,11.59,0,97.17
2024-01-22,1,1,7,3,16.86,14.71,0,36.61
2024-01-22,1,1,18,4,15.42,10.57,0,75.27
2024-01-22,1,1,23,3,14.92,16.54,0,114.37
2024-01-22,1,1,7,4,17.41,11.54,1,55.29
2024-01-22,1,1,20,3,14.82,14.39,0,98.2
2024-01-22,1,1,9,1,13.97,16.75,0,118.16
2024-01-22,1,1,0,4,13.35,16.92,0,0.0
2024-01-22,1,1,16,3,15.9,11.69,0,79.08
2024-01-22,1,1,26,4,15.24,16.04,0,96.42
2024-01-22,1,1,6,3,17.87,12.14,0,37.21
2024-01-22,1,1,7,3,16.02,15.6,0,36.49
2024-01-22,1,1,26,2,13.62,9.68,0,176.1
2024-01-22,1,1,29,1,11.18,8.73,0,322.77
2024-01-22,1,1,28,4,16.91,12.73,0,114.91
2024-01-22,1,1,19,1,12.78,16.5,1,259.83
2024-01-22,1,1,1,4,9.28,15.2,0,5.15
2024-01-22,1,1,6,4,12.72,12.63,0,19.73
2024-01-22,1,1,14,1,12.83,11.16,0,180.31
2024-01-22,1,1,7,3,14.26,11.47,0,28.21
2024-01-22,1,1,14,3,12.4,13.22,0,56.24
2024-01-22,1,1,16,3,14.53,12.43,0,80.08
2024-01-22,1,1,18,1,11.45,14.58,0,204.17
2024-01-22,1,1,0,1,16.5,8.25,1,20.75
2024-01-22,1,1,23,3,12.6,10.59,0,100.12
2024-01-23,1,1,16,3,18.51,12.17,0,101.0
2024-01-23,1,1,10,3,14.67,11.35,0,47.05
2024-01-23,1,1,11,2,12.98,9.88,0,75.64
2024-01-23,1,1,18,1,15.19,11.42,0,271.6
2024-01-23,1,1,12,2,14.78,13.95,0,91.4
2024-01-23,1,1,30,2,14.48,8.94,0,221.15
2024-01-23,1,1,26,2,13.04,8.33,0,161.81
2024-01-23,1,1,0,1,12.25,10.47,0,0.0
2024-01-23,1,1,16,1,13.93,12.95,0,226.24
2024-01-23,1,1,10,1,15.6,8.97,0,155.51
2024-01-23,1,1,27,4,18.85,16.88,0,131.15
2024-01-23,1,1,12,1,13.01,11.46,0,157.03
2024-01-23,1,1,13,4,15.15,16.71,0,52.17
2024-01-23,1,1,12,3,12.91,12.8,0,55.54
2024-01-23,1,1,10,1,17.86,8.31,0,184.92
2024-01-23,1,1,17,1,15.25,8.54,0,261.82
2024-01-23,1,1,12,3,21.12,13.35,0,90.59
2024-01-23,1,1,22,4,16.14,10.89,0,81.21
2024-01-23,1,1,20,1,10.51,15.33,0,211.87
2024-01-23,1,1,23,2,16.79,16.62,0,194.27
2024-01-23,1,1,2,4,15.28,12.66,0,9.33
2024-01-23,1,1,16,1,13.67,8.91,0,219.09
2024-01-23,1,1,28,3,16.62,13.16,0,152.94
2024-01-23,1,1,6,3,15.08,12.55,0,32.34
2024-01-23,1,1,21,3,18.78,13.52,0,139.21
2024-01-23,1,1,22,3,18.66,8.55,0,137.75
2024-01-23,1,1,6,3,13.71,10.79,0,28.53
2024-01-23,1,1,1,2,14.38,16.81,0,11.41
2024-01-24,1,1,9,4,13.5,8.72,0,29.2
