date,centre_id,crop_id,capacity,bookings,arrivals,quantity,no_show_rate
2025-04-06,1,1,35,29,27,281.069,0.0764
2025-04-07,1,1,40,34,32,253.899,0.0724
2025-04-08,1,1,40,32,30,287.401,0.0732
2025-04-09,1,1,40,26,23,288.009,0.1002
2025-04-10,1,1,40,29,27,314.948,0.0625
2025-04-11,1,1,40,30,27,276.501,0.0908
2025-04-12,1,1,35,26,23,303.99,0.1127
2025-04-13,1,1,35,26,24,267.736,0.0872
2025-04-14,1,1,40,36,33,359.15,0.0805
2025-04-15,1,1,40,38,34,399.194,0.0928
2025-04-16,1,1,40,27,25,141.443,0.0603
2025-04-17,1,1,40,23,21,201.464,0.0822
2025-04-18,1,1,40,24,21,312.708,0.1198
2025-04-19,1,1,35,20,18,186.007,0.0774
2025-04-20,1,1,35,23,20,195.277,0.1304
2025-04-21,1,1,40,39,37,452.439,0.0621
2025-04-22,1,1,40,31,27,291.163,0.1131
2025-04-23,1,1,40,22,19,239.85,0.1212
2025-04-24,1,1,40,23,22,221.791,0.062
2025-04-25,1,1,40,20,19,113.121,0.0665
2025-04-26,1,1,35,20,19,175.52,0.0606
2025-04-27,1,1,35,30,28,285.766,0.0664
2025-04-28,1,1,40,24,22,254.498,0.0808
2025-04-29,1,1,40,27,25,250.267,0.0895
2025-04-30,1,1,40,24,22,157.48,0.0989
2025-05-01,1,1,40,25,23,270.979,0.0752
2025-05-02,1,1,40,22,19,215.021,0.138
2025-05-03,1,1,35,23,21,191.608,0.0755
2025-05-04,1,1,35,22,19,195.271,0.1436
2025-05-05,1,1,40,35,32,324.307,0.0827
2025-05-06,1,1,40,25,23,268.645,0.0994
2025-05-07,1,1,40,29,27,332.58,0.0709
2025-05-08,1,1,40,33,30,341.008,0.0852
2025-05-09,1,1,40,17,16,202.638,0.0832
2025-05-10,1,1,35,22,21,247.59,0.056
2025-05-11,1,1,35,27,24,257.217,0.1055
2025-05-12,1,1,40,37,34,375.302,0.0942
2025-05-13,1,1,40,33,29,369.69,0.1264
2025-05-14,1,1,40,32,29,407.07,0.0928
2025-05-15,1,1,40,32,29,308.387,0.0808
2025-05-16,1,1,40,34,31,332.53,0.0767
2025-05-17,1,1,35,25,23,202.64,0.0896
2025-05-18,1,1,35,18,16,161.908,0.1174
2025-05-19,1,1,40,27,25,298.915,0.0813
2025-05-20,1,1,40,21,19,195.593,0.1105
2025-05-21,1,1,40,21,18,223.587,0.1208
2025-05-22,1,1,40,20,18,180.922,0.0802
2025-05-23,1,1,40,17,15,207.291,0.1179
2025-05-24,1,1,35,25,22,213.317,0.1295
2025-05-25,1,1,35,30,27,311.928,0.1026
2025-05-26,1,1,40,28,26,226.586,0.0696
2025-05-27,1,1,40,23,21,189.103,0.0902
2025-05-28,1,1,40,19,17,175.29,0.0915
2025-05-29,1,1,40,25,24,295.059,0.0504
2025-05-30,1,1,40,18,17,197.714,0.0761
2025-05-31,1,1,35,26,23,287.006,0.0997
2025-06-01,1,1,35,26,24,263.452,0.0585
2025-06-02,1,1,40,35,31,353.052,0.1195
2025-06-03,1,1,40,23,21,218.019,0.0739
2025-06-04,1,1,40,32,29,257.084,0.0941
2025-06-05,1,1,40,18,17,170.502,0.06
2025-06-06,1,1,40,31,29,222.829,0.0788
2025-06-07,1,1,35,21,19,227.547,0.0994
2025-06-08,1,1,35,16,14,169.351,0.1004
2025-06-09,1,1,40,22,19,229.97,0.1216
2025-06-10,1,1,40,30,26,371.649,0.1204
2025-06-11,1,1,40,20,18,173.033,0.1007
2025-06-12,1,1,40,27,24,300.817,0.0956
2025-06-13,1,1,40,25,23,158.465,0.0973
2025-06-14,1,1,35,31,28,266.387,0.0997
2025-06-15,1,1,35,18,17,172.408,0.058
2025-06-16,1,1,40,29,28,271.212,0.0448
2025-06-17,1,1,40,31,30,157.798,0.0288
2025-06-18,1,1,40,17,15,153.897,0.0921
2025-06-19,1,1,40,25,23,245.831,0.0616
2025-06-20,1,1,40,23,21,172.136,0.0828
